id_estoque,id_livro,quantidade
1,28574,53
2,9644,0
3,28377,90
4,18682,41
5,15013,33
6,12470,17
7,1294,12
8,4949,17
9,29567,22
10,25681,38
11,23680,3
12,20776,52
13,17437,58
14,5038,82
15,14394,50
16,10847,100
17,11408,1
18,17165,97
19,23925,58
20,1444,49
21,1137,91
22,29515,64
23,27725,97
24,26378,50
25,19923,14
26,18274,94
27,114,76
28,27684,12
29,17597,60
30,15001,52
31,26108,57
32,5827,38
33,5163,17
34,3732,32
35,25123,19
36,3341,12
37,17383,70
38,4026,64
39,12434,31
40,24986,45
41,13305,45
42,25733,95
43,23272,60
44,23959,48
45,25693,56
46,2683,28
47,25312,44
48,22369,19
49,10566,58
50,21529,6
51,26438,61
52,17518,96
53,28719,74
54,7169,23
55,4582,94
56,18252,66
57,13140,22
58,24000,39
59,9404,69
60,28265,81
61,4187,46
62,12132,89
63,13870,75
64,5494,69
65,15913,20
66,7045,48
67,29516,15
68,6879,72
69,23743,9
70,29515,9
71,21556,76
72,1979,90
73,8377,47
74,11734,52
75,22882,99
76,25773,73
77,12498,24
78,1891,40
79,4670,84
80,25725,56
81,14787,12
82,13479,100
83,8989,47
84,18543,78
85,907,69
86,17209,91
87,9168,53
88,29653,33
89,22734,80
90,29393,90
91,17348,55
92,9023,80
93,13223,48
94,11751,48
95,24905,2
96,15449,50
97,16590,17
98,11630,15
99,25925,53
100,3792,40
101,27832,84
102,3469,50
103,1360,65
104,15512,25
105,25735,42
106,18425,40
107,23046,29
108,27611,2
109,16209,48
110,6959,63
111,4460,23
112,3171,79
113,6309,7
114,23673,62
115,17011,74
116,9569,100
117,10015,62
118,4072,24
119,20737,8
120,18561,55
121,789,0
122,225,57
123,5139,73
124,13784,11
125,28371,81
126,3370,33
127,21240,71
128,774,50
129,10656,23
130,11278,94
131,23844,78
132,4631,43
133,6017,87
134,1013,98
135,12947,100
136,13268,14
137,20229,39
138,12700,44
139,4113,44
140,27858,19
141,9455,64
142,8339,14
143,19390,82
144,12859,73
145,9897,8
146,26035,91
147,1117,36
148,7646,81
149,20311,61
150,23702,35
151,1682,90
152,29835,69
153,8007,30
154,23260,74
155,11711,43
156,4427,65
157,28193,72
158,7659,28
159,23351,66
160,22603,59
161,18735,6
162,9016,19
163,12701,20
164,29232,68
165,17874,45
166,10988,96
167,11624,47
168,9480,9
169,4603,31
170,4534,85
171,10007,80
172,2315,87
173,19187,96
174,18942,12
175,10559,80
176,10461,22
