id_item,id_pedido,id_livro,quantidade,preco_unitario
1,16838,11794,2,37.16
2,12030,28811,4,141.95
3,13874,9745,1,176.23
4,23568,23012,1,81.86
5,13992,1421,2,115.34
6,27527,14092,4,75.15
7,24197,4883,1,136.66
8,29390,2092,4,62.31
9,8338,10599,2,61.49
10,18178,17596,1,25.46
11,8072,15044,2,20.06
12,9817,26058,5,62.3
13,27645,12309,4,149.66
14,9289,24148,3,119.36
15,3020,6235,4,29.76
16,5666,1493,1,141.2
17,17105,7555,2,23.04
18,10954,25230,2,190.22
19,23688,3585,2,36.99
20,9634,24164,1,199.71
21,6254,14604,2,190.34
22,22359,25474,5,83.78
23,19982,20691,4,55.26
24,11332,2935,4,183.62
25,23633,9317,1,190.31
26,7216,998,5,91.61
27,11154,18230,5,196.79
28,11800,26430,3,186.5
29,26224,13689,1,141.73
30,19677,14199,4,74.66
31,6535,12075,4,94.01
32,13292,25762,4,81.49
33,29219,15750,5,198.2
34,27858,11769,3,118.45
35,10226,7879,3,99.63
36,10295,24656,3,150.36
37,9207,21420,4,148.38
38,23876,13637,3,38.2
39,29606,759,2,159.46
40,20528,4417,5,104.24
41,26819,24412,5,158.15
42,21736,27376,3,183.06
43,28048,26705,3,114.06
44,7110,20966,4,183.19
45,7718,12241,1,153.32
46,25080,24679,2,23.8
47,2372,26830,4,59.05
48,29541,17032,5,179.68
49,10735,5375,5,84.76
50,16285,4400,1,195.34
51,4023,8573,3,152.15
52,7923,2905,1,101.54
53,10210,12773,4,73.39
54,11081,2808,5,107.72
55,28670,737,5,71.21
56,26879,16940,1,173.75
57,8450,13850,1,35.72
58,3587,19022,3,138.13
59,1791,26681,4,60.47
60,7672,25338,4,132.82
61,13513,27524,2,26.86
62,20787,12949,1,45.42
63,10689,3109,1,26.62
64,19218,17959,2,31.1
65,23955,18498,5,106.05
66,82,17388,2,38.35
67,11881,12793,1,168.43
68,25402,9161,5,29.6
69,20052,16130,4,142.74
70,27237,9875,2,56.11
71,29967,10897,5,125.46
72,14260,7750,4,182.5
73,21042,24141,1,123.04
74,27484,17977,1,78.82
75,7768,27476,3,163.89
76,19488,14423,2,160.05
77,5038,3318,1,142.56
78,9749,14324,3,168.93
79,18567,2966,5,105.88
80,27606,16986,1,128.53
81,9422,27919,3,143.01
82,10041,27449,2,62.63
83,25298,21586,3,83.26
84,22175,23740,4,170.65
85,14388,20177,2,142.12
86,27166,25637,4,156.35
87,7690,6086,5,140.06
88,18929,28550,1,102.07
89,27879,15253,2,74.43
90,15825,2181,2,49.68
91,7476,981,3,47.55
92,6851,11527,5,63.48
93,10453,20342,5,89.88
94,16994,8204,1,52.24
95,28127,13330,1,50.57
96,2058,28969,2,55.64
97,11173,21130,1,72.12
98,25409,9507,2,158.53
99,21459,26995,3,79.65
100,18202,22824,4,46.52
101,28112,11929,1,44.08
102,10107,2486,1,131.74
103,9410,672,5,60.23
104,12041,6199,1,123.1
105,13874,13626,3,84.51
106,21646,15492,4,143.09
107,5869,23795,5,29.67
108,17862,6891,5,75.21
109,22896,58,2,171.03
110,24867,1384,4,30.21
111,20525,19060,4,142.67
112,1983,1362,1,81.91
113,29534,23449,3,136.5
114,23165,14798,3,185.13
115,29471,14828,4,81.33
116,5348,12123,5,198.86
117,20881,18396,4,115.96
118,3202,5838,1,182.69
119,15480,9682,5,60.92
120,499,3239,5,118.75
121,24117,6615,3,93.96
122,20732,24607,2,63.88
123,3945,10999,2,64.73
124,10775,25296,1,173.14
125,19416,3375,5,29.28
126,28908,15304,4,166.56
127,22420,9184,5,66.09
128,1077,10902,5,158.0
129,8282,25113,4,138.65
130,26271,20104,5,76.88
131,19079,11830,3,75.33
132,17774,16205,2,174.27
133,24864,29041,5,141.96
134,20615,10928,5,187.88
135,5778,28138,5,169.67
136,5983,19856,4,141.15
137,23694,7744,1,39.55
138,17213,11839,5,145.78
139,16214,17463,2,175.17
140,9678,22401,1,171.2
141,12550,3136,3,158.54
142,28607,8860,1,196.31
143,659,13213,2,103.14
144,19003,20270,1,98.0
145,6612,22186,4,122.51
146,4545,9407,4,51.26
147,19960,4249,2,63.95
148,10298,49,2,190.76
149,3099,17703,4,40.54
150,4588,21437,5,130.8
151,1525,18072,2,76.98
152,26317,19536,1,32.5
153,15004,17028,3,87.54
154,27945,17585,2,148.6
155,13417,19345,2,30.01
156,15908,26016,5,28.01
157,29637,28368,3,193.69
158,2177,8794,5,100.58
159,29512,15698,1,36.16
160,16086,26512,2,122.08
161,16302,2385,1,188.79
162,28237,5848,4,168.83
163,24676,17849,2,121.8
164,5451,28582,3,177.83
165,24382,13153,4,28.48
166,3638,24632,3,21.27
167,21739,20108,5,49.03
168,26270,177,1,53.12
169,4577,20028,5,89.28
170,27361,22643,4,90.27
171,5781,23747,3,176.32
172,5942,17444,2,87.21
173,8856,4184,5,183.99
174,16429,24720,2,53.83
175,14682,22926,4,116.22
176,15815,25416,3,111.23
177,20590,22361,1,174.29
178,20974,13083,4,95.46
179,291,2549,4,92.85
