id_livro,titulo,id_autor,id_editora,ano_publicacao
1,A simplicidade de concretizar seus projetos mais facilmente,1899,374,1993
2,A simplicidade de ganhar sem preocupação,2619,153,2013
3,O direito de concretizar seus projetos com toda a tranquilidade,2716,728,1964
4,A segurança de realizar seus sonhos mais facilmente,1279,184,2005
5,O poder de realizar seus sonhos com confiança,4189,580,1999
6,O direito de conseguir sem preocupação,2596,591,2000
7,O conforto de atingir seus objetivos naturalmente,1127,759,1952
8,A simplicidade de realizar seus sonhos direto da fonte,4697,421,2009
9,A certeza de inovar antes de tudo,3964,510,1978
10,A arte de atingir seus objetivos com confiança,4646,821,2000
11,A simplicidade de evoluir com força total,2959,28,2024
12,O direito de mudar mais rapidamente,4519,103,1975
13,O direito de inovar sem preocupação,4645,495,1950
14,A certeza de ganhar sem preocupação,2411,466,1961
15,O conforto de conseguir com força total,680,806,1959
16,A certeza de avançar com força total,1852,443,2014
17,A vantagem de avançar com toda a tranquilidade,461,853,2012
18,O direito de conseguir em estado puro,2125,466,1975
19,A segurança de conseguir em estado puro,4707,229,2016
20,A possibilidade de inovar mais rapidamente,4099,553,2008
21,A segurança de inovar com confiança,1321,749,1981
22,A segurança de evoluir naturalmente,2364,218,2000
23,O conforto de avançar direto da fonte,1201,513,2010
24,A segurança de realizar seus sonhos com confiança,414,967,1982
25,A vantagem de ganhar com força total,4295,632,1987
26,A vantagem de avançar de maneira eficaz,3762,384,1958
27,A simplicidade de concretizar seus projetos antes de tudo,678,932,1976
28,O poder de mudar antes de tudo,2348,656,1972
29,O prazer de inovar em estado puro,53,241,1956
30,A possibilidade de mudar com toda a tranquilidade,229,198,1976
31,A certeza de ganhar naturalmente,4737,799,2017
32,O poder de atingir seus objetivos em estado puro,3534,698,2003
33,O conforto de realizar seus sonhos simplesmente,576,507,1953
34,A vantagem de ganhar sem preocupação,961,66,1965
35,A possibilidade de ganhar com força total,2394,805,1972
36,A simplicidade de concretizar seus projetos simplesmente,476,913,1978
37,O direito de realizar seus sonhos mais rapidamente,4047,187,1998
38,A simplicidade de avançar com toda a tranquilidade,4905,127,1990
39,A simplicidade de evoluir naturalmente,2364,463,2001
40,A segurança de concretizar seus projetos mais facilmente,4723,371,2016
41,A certeza de inovar direto da fonte,3676,906,2016
42,A arte de realizar seus sonhos mais facilmente,4988,875,1975
43,A vantagem de conseguir naturalmente,631,215,1993
44,O prazer de inovar mais facilmente,153,24,1979
45,A arte de avançar mais rapidamente,2281,103,1998
46,A arte de inovar em estado puro,3405,659,1955
47,O conforto de concretizar seus projetos mais rapidamente,1190,672,1993
48,O conforto de realizar seus sonhos em estado puro,4734,98,1991
49,O prazer de avançar direto da fonte,3125,979,1989
50,A possibilidade de atingir seus objetivos direto da fonte,4525,17,2020
51,A vantagem de concretizar seus projetos mais facilmente,4028,879,1981
52,A simplicidade de realizar seus sonhos sem preocupação,67,332,1962
53,O prazer de inovar direto da fonte,3430,420,2018
54,A vantagem de realizar seus sonhos de maneira eficaz,1190,484,1997
55,A liberdade de concretizar seus projetos em estado puro,1896,268,2017
56,A arte de mudar com toda a tranquilidade,3223,981,1955
57,A liberdade de realizar seus sonhos naturalmente,3415,162,1974
58,A arte de atingir seus objetivos com toda a tranquilidade,4393,582,1990
59,A simplicidade de conseguir com confiança,1754,441,2005
60,A liberdade de ganhar antes de tudo,371,549,1956
61,O poder de evoluir mais rapidamente,637,283,2012
62,A liberdade de inovar com confiança,4164,995,1997
63,A vantagem de atingir seus objetivos com força total,4618,577,1964
64,A simplicidade de conseguir mais facilmente,2512,865,1969
65,O prazer de ganhar simplesmente,1708,459,1955
66,O poder de concretizar seus projetos sem preocupação,4695,992,1970
67,A arte de realizar seus sonhos em estado puro,4549,492,1996
68,A segurança de realizar seus sonhos com toda a tranquilidade,4721,390,1974
69,A segurança de realizar seus sonhos naturalmente,2740,888,2008
70,A vantagem de concretizar seus projetos com confiança,3982,368,1996
