id_pagamento,id_pedido,forma_pagamento,valor_total,data
1,22206,Pix,342.44,2023-11-05
2,28763,Cartão,103.58,2025-01-01
3,714,Cartão,353.26,2022-08-09
4,27611,Cartão,242.54,2022-11-07
5,8228,Pix,256.72,2024-12-04
6,15502,Pix,176.54,2024-08-03
7,18187,Boleto,82.54,2024-10-18
8,14204,Pix,67.87,2023-04-10
9,17210,Pix,78.33,2024-12-31
10,5060,Cartão,188.73,2023-06-14
11,10773,Boleto,414.76,2023-10-07
12,27825,Cartão,128.89,2022-06-09
13,4150,Cartão,353.71,2024-07-07
14,2897,Boleto,95.01,2024-09-12
15,25904,Boleto,411.7,2023-03-30
16,26043,Pix,333.47,2024-09-27
17,16836,Boleto,94.4,2024-07-16
18,8276,Pix,168.01,2025-01-18
19,1657,Cartão,455.97,2022-06-13
20,9261,Boleto,87.33,2023-05-24
21,21914,Cartão,347.76,2024-11-12
22,26623,Pix,385.69,2025-04-16
23,25152,Cartão,472.23,2023-08-05
24,19316,Cartão,55.51,2024-06-30
25,21099,Pix,336.01,2022-11-11
26,27727,Pix,474.52,2024-11-26
27,14754,Cartão,131.49,2023-10-16
28,29011,Boleto,155.57,2024-09-16
29,9407,Pix,130.79,2023-01-24
30,5947,Boleto,429.71,2023-05-21
31,12729,Pix,48.07,2024-11-30
32,5809,Cartão,491.16,2025-03-02
33,29815,Pix,439.75,2024-10-01
34,27879,Pix,42.77,2023-09-23
35,14235,Boleto,115.82,2024-12-28
36,12881,Boleto,289.8,2025-01-19
37,22660,Cartão,393.38,2025-05-22
38,21485,Cartão,474.15,2022-12-31
39,22976,Boleto,180.25,2024-02-29
40,25588,Pix,458.13,2024-05-07
41,7670,Pix,99.1,2023-12-31
42,4429,Pix,340.24,2023-09-22
43,949,Boleto,144.72,2025-03-15
44,17858,Pix,214.36,2023-08-20
45,23927,Boleto,387.6,2025-03-24
46,13677,Cartão,61.37,2022-06-26
47,17590,Pix,326.38,2024-05-30
48,19473,Cartão,427.18,2025-01-22
49,13324,Pix,317.09,2023-06-09
50,9204,Pix,127.75,2025-04-29
51,14804,Boleto,486.28,2023-01-23
52,24342,Pix,110.89,2022-07-05
53,24967,Cartão,98.73,2024-08-17
54,310,Cartão,94.51,2023-08-19
55,1878,Pix,192.18,2024-11-14
56,9609,Boleto,378.45,2023-05-05
57,26666,Cartão,45.56,2025-01-04
58,14478,Cartão,198.93,2023-12-14
59,3461,Cartão,177.75,2023-12-11
60,26609,Boleto,120.76,2023-01-22
61,12550,Pix,113.94,2022-12-07
62,29208,Pix,179.68,2023-03-12
63,29352,Cartão,179.41,2022-12-29
64,4605,Boleto,90.35,2022-10-02
65,20452,Pix,439.56,2024-04-24
66,9084,Pix,54.09,2023-08-15
67,15157,Boleto,356.35,2024-10-12
68,13190,Pix,114.48,2022-11-02
69,1849,Boleto,460.13,2023-02-14
70,5591,Cartão,471.34,2023-02-15
71,20990,Pix,240.76,2023-12-17
72,10842,Cartão,488.41,2023-11-09
73,21100,Cartão,427.15,2024-09-18
74,23364,Pix,374.94,2025-03-14
75,26428,Boleto,478.35,2022-09-03
76,21240,Pix,479.3,2025-05-08
77,20764,Boleto,95.69,2024-07-03
78,22564,Cartão,63.08,2024-04-11
79,29125,Cartão,480.58,2023-06-28
80,13364,Cartão,189.05,2024-10-07
81,2414,Cartão,306.1,2024-05-06
82,29300,Cartão,393.62,2025-01-24
83,19002,Boleto,212.57,2022-07-13
84,21572,Cartão,384.64,2023-11-07
85,18311,Cartão,488.09,2024-06-18
86,16881,Cartão,46.3,2024-01-06
87,18107,Cartão,360.5,2023-08-02
88,1297,Cartão,451.82,2023-06-05
89,5419,Cartão,121.21,2024-11-04
90,26426,Cartão,488.06,2024-06-29
91,14053,Cartão,332.49,2023-01-15
92,6587,Cartão,384.2,2025-06-05
93,11281,Cartão,111.4,2022-08-04
94,11833,Pix,264.27,2023-06-13
95,23273,Pix,381.64,2023-05-13
96,26549,Boleto,489.3,2023-12-23
97,5609,Cartão,41.81,2024-01-13
98,10237,Boleto,276.68,2024-10-14
99,12096,Cartão,231.97,2023-06-15
100,17904,Cartão,324.24,2024-03-11
101,18432,Boleto,148.23,2024-09-14
102,28106,Pix,232.63,2023-07-27
103,17798,Pix,344.53,2024-02-19
104,6252,Pix,203.58,2023-08-25
105,25151,Cartão,289.54,2024-10-02
106,14785,Pix,259.88,2024-07-01
107,12803,Boleto,111.94,2023-10-10
108,10696,Boleto,98.92,2022-07-26
109,20425,Boleto,475.55,2024-04-11
110,21458,Pix,251.4,2024-08-27
111,29697,Pix,422.35,2022-07-20
112,28546,Boleto,323.01,2022-10-26
113,8148,Pix,159.83,2022-06-21
114,471,Boleto,374.7,2023-11-24
115,14452,Boleto,401.39,2023-03-11
116,18867,Boleto,292.91,2022-11-09
117,29180,Boleto,59.35,2024-04-05
118,16392,Cartão,51.33,2023-09-15
119,9754,Pix,313.42,2023-05-10
120,18236,Boleto,267.86,2023-06-05
121,5045,Pix,43.12,2023-08-01
122,15190,Boleto,342.77,2025-02-02
123,26024,Boleto,450.6,2023-11-28
124,29794,Cartão,206.62,2023-04-22
125,16776,Cartão,161.39,2024-01-30
126,29540,Cartão,440.04,2024-04-05
