id_pedido,id_cliente,data,status
1,9256,2023-02-06,Cancelado
2,11028,2023-09-20,Cancelado
3,10738,2023-11-25,Cancelado
4,19109,2024-12-02,Pendente
5,12057,2024-01-15,Pago
6,8450,2024-02-28,Pago
7,16724,2023-07-08,Pendente
8,782,2025-03-30,Pendente
9,8285,2022-12-06,Cancelado
10,17159,2024-09-13,Pago
11,17677,2024-03-17,Pago
12,5739,2024-12-25,Cancelado
13,2791,2023-01-14,Cancelado
14,2976,2025-06-03,Pago
15,21419,2023-11-12,Pago
16,21443,2024-07-25,Cancelado
17,21148,2025-01-10,Pendente
18,10800,2023-05-24,Pendente
19,942,2023-08-12,Cancelado
20,16603,2024-06-24,Cancelado
21,18858,2023-12-23,Pago
22,2020,2024-11-13,Pago
23,1667,2023-12-27,Cancelado
24,8521,2023-03-28,Pago
25,22174,2024-02-22,Pendente
26,18,2023-10-03,Pago
27,19068,2024-01-30,Cancelado
28,10576,2023-12-17,Pendente
29,18718,2022-08-24,Cancelado
30,15819,2024-02-03,Pago
31,23368,2024-02-04,Cancelado
32,20612,2023-01-21,Cancelado
33,18317,2023-03-24,Pago
34,16289,2024-07-04,Cancelado
35,17000,2022-08-27,Cancelado
36,14414,2023-02-01,Cancelado
37,8704,2025-05-20,Pago
38,9650,2022-09-23,Cancelado
39,21011,2025-02-20,Cancelado
40,311,2023-03-21,Cancelado
41,22635,2023-04-15,Pago
42,16552,2022-06-13,Pendente
43,17683,2024-06-11,Pago
44,5098,2024-10-07,Cancelado
45,22434,2022-11-24,Pendente
46,21692,2022-12-28,Pendente
47,19360,2023-08-22,Cancelado
48,17919,2025-04-19,Pago
49,6744,2024-09-02,Cancelado
50,11622,2023-08-04,Cancelado
51,19911,2022-08-03,Pendente
52,17155,2022-08-07,Pago
53,7615,2024-08-14,Pago
54,10661,2022-08-01,Pago
55,16406,2023-10-10,Cancelado
56,24668,2024-01-15,Pendente
57,1823,2024-09-09,Pendente
58,8872,2023-09-02,Cancelado
59,6558,2023-07-30,Pago
60,21011,2024-06-22,Pago
61,16681,2024-10-08,Pago
62,16484,2024-01-27,Pendente
63,22579,2025-02-18,Cancelado
64,23397,2023-01-15,Cancelado
65,14301,2022-06-11,Pendente
66,23717,2024-12-21,Pago
67,2100,2023-05-26,Pendente
68,4264,2024-03-14,Cancelado
69,4458,2022-09-22,Cancelado
70,19503,2024-08-20,Pendente
71,21710,2023-05-08,Cancelado
72,10482,2023-08-21,Cancelado
73,3303,2023-02-22,Cancelado
74,21809,2024-01-28,Pago
75,6621,2023-02-23,Pendente
76,5754,2022-12-17,Cancelado
77,24012,2023-02-06,Cancelado
78,8319,2024-03-27,Pendente
79,11750,2024-04-20,Pago
80,2963,2024-08-05,Cancelado
81,24820,2022-09-27,Pago
82,4752,2023-09-25,Pago
83,2656,2022-09-18,Pendente
84,8894,2024-08-03,Pago
85,18022,2023-11-13,Cancelado
86,449,2025-05-18,Cancelado
87,12542,2025-02-18,Cancelado
88,11654,2024-10-15,Cancelado
89,24234,2023-04-09,Cancelado
90,20575,2023-10-31,Cancelado
91,14073,2024-02-28,Pendente
92,7441,2022-12-30,Pendente
93,8787,2023-10-29,Cancelado
94,16232,2024-10-25,Cancelado
95,3520,2025-04-24,Pendente
96,4283,2023-07-16,Cancelado
97,8135,2023-04-17,Pendente
98,20697,2024-01-01,Cancelado
99,11078,2022-11-16,Pendente
100,10919,2024-03-21,Pago
101,20812,2025-06-02,Pago
102,21937,2023-04-09,Cancelado
103,9585,2025-01-07,Pago
104,23359,2022-07-30,Cancelado
105,7219,2023-10-10,Pendente
106,15947,2025-02-25,Pago
107,15227,2022-09-07,Cancelado
108,14420,2024-09-05,Pago
109,21468,2023-11-06,Pago
110,21605,2025-01-07,Pago
111,12237,2024-06-22,Pago
112,2572,2022-11-16,Pago
113,10003,2025-04-26,Cancelado
114,23515,2025-02-03,Pendente
115,18209,2024-01-15,Cancelado
116,17613,2022-12-20,Pendente
117,12018,2022-12-12,Pendente
118,20246,2023-09-23,Pago
119,17278,2024-02-16,Pago
120,19540,2023-01-18,Pago
121,7580,2025-03-16,Pendente
122,22370,2025-02-27,Pendente
123,2033,2024-10-30,Pendente
124,10383,2023-01-08,Pago
125,4054,2024-02-07,Cancelado
126,11531,2025-03-27,Pago
127,15282,2024-02-05,Pendente
128,13150,2024-07-26,Cancelado
129,2694,2024-10-25,Cancelado
130,21952,2023-02-13,Pendente
131,12150,2025-02-01,Pendente
132,7862,2025-02-10,Cancelado
133,5946,2022-09-05,Pendente
134,21325,2023-11-04,Pendente
135,3750,2022-11-18,Pendente
136,2003,2024-10-22,Pago
137,8340,2025-02-05,Pendente
138,18184,2023-08-31,Pago
139,17125,2022-09-21,Pago
140,19676,2025-05-15,Cancelado
141,15089,2022-06-11,Pendente
142,3737,2022-06-15,Pendente
143,7102,2024-08-30,Pendente
144,23410,2023-11-12,Pendente
145,4805,2025-04-13,Cancelado
146,4511,2025-01-07,Pago
147,19699,2023-04-23,Pago
148,21224,2025-06-01,Cancelado
149,6839,2023-11-03,Cancelado
150,21757,2024-10-01,Pago
151,3562,2025-05-10,Pago
152,717,2023-11-11,Pago
153,20157,2024-04-01,Cancelado
154,10112,2023-03-20,Pago
155,22298,2025-02-14,Cancelado
156,23406,2023-03-30,Pago
157,11563,2024-02-08,Pendente
158,9614,2023-01-25,Cancelado
159,21888,2024-02-02,Pago
160,23316,2025-01-05,Cancelado
161,3913,2024-01-21,Pendente
162,10891,2025-04-09,Cancelado
163,1448,2023-12-31,Pago
164,16253,2023-07-24,Pendente
165,24683,2024-09-30,Pago
166,18958,2025-02-12,Pendente
167,21126,2025-01-24,Pago
168,3240,2023-01-07,Pendente
169,11572,2023-10-11,Cancelado
170,14683,2024-06-25,Pago
171,12343,2024-07-21,Cancelado
172,23961,2023-10-21,Cancelado
173,21333,2024-11-08,Cancelado
174,13333,2022-07-16,Pendente
175,23280,2023-03-12,Pago
176,12606,2023-06-04,Cancelado
177,6771,2023-02-19,Cancelado
178,7602,2024-11-13,Cancelado
179,19087,2022-11-24,Pago
180,18180,2023-12-29,Pendente
181,16451,2024-09-30,Pendente
182,10726,2022-07-01,Cancelado
183,5859,2022-09-20,Pago
184,19645,2024-11-11,Pendente
185,14629,2024-07-13,Pendente
186,2311,2025-02-19,Cancelado
187,6704,2024-04-23,Pago
188,23030,2024-09-26,Cancelado
189,13641,2025-01-18,Cancelado
190,7829,2022-08-14,Pago
191,11714,2022-12-24,Pago
192,12830,2024-11-23,Cancelado
193,16796,2022-07-09,Cancelado
194,15960,2022-12-23,Cancelado
195,4122,2024-06-06,Pendente
196,13913,2022-09-25,Pago
197,18676,2022-06-22,Pendente
198,12568,2025-03-12,Pendente
199,17589,2024-06-16,Pendente
200,23884,2024-01-25,Pendente
201,15330,2022-08-02,Pendente
202,13791,2023-06-24,Pendente
203,17691,2024-02-06,Cancelado
204,5629,2024-10-29,Pendente
205,6872,2024-03-17,Pendente
206,4829,2022-08-18,Cancelado
207,14200,2023-06-23,Cancelado
208,12676,2024-12-13,Pendente
209,10965,2024-03-28,Cancelado
210,12958,2024-07-30,Pago
211,6600,2023-11-05,Cancelado
212,11161,2025-02-01,Pendente
213,22347,2022-11-26,Pago
214,10774,2024-09-27,Pago
215,1468,2022-08-04,Cancelado
216,12126,2022-10-31,Pendente
217,8821,2024-09-14,Pago
218,7575,2025-06-04,Pendente
219,613,2024-09-11,Cancelado
220,23132,2023-12-25,Cancelado
221,10080,2022-11-18,Pago
222,17371,2023-09-12,Pendente
223,20246,2023-04-17,Cancelado
224,1049,2023-05-29,Pendente
225,9327,2023-09-29,Pago
226,5780,2022-11-12,Pago
227,22800,2022-09-09,Pendente
228,17509,2023-11-02,Pendente
229,10001,2024-11-30,Pago
230,23128,2022-09-03,Pendente
231,2861,2024-07-29,Pendente
232,6783,2024-01-08,Pendente
233,4335,2023-04-13,Cancelado
234,8243,2022-11-07,Cancelado
235,3342,2025-01-26,Pendente
236,23085,2022-10-03,Cancelado
237,23886,2024-12-29,Cancelado
238,12812,2024-01-10,Cancelado
239,11749,2023-06-14,Pago
240,14995,2023-11-19,Pago
241,21118,2024-08-28,Pago
242,21782,2022-10-20,Pendente
243,8226,2025-05-17,Cancelado
244,24809,2023-06-17,Pago
245,5501,2024-09-14,Cancelado
246,18333,2024-04-07,Pendente
247,2587,2023-03-05,Pendente
248,16971,2023-10-08,Cancelado
249,21315,2022-08-30,Cancelado
250,8588,2023-10-22,Cancelado
251,8501,2024-09-30,Pago
252,18402,2025-03-31,Cancelado
253,16762,2024-09-29,Cancelado
254,9421,2023-09-07,Pago
255,19836,2024-09-29,Cancelado
256,2980,2022-06-15,Cancelado
257,6881,2024-08-22,Pendente
258,15191,2023-02-26,Pendente
259,1700,2023-08-27,Pago
260,16548,2022-06-27,Pendente
261,24618,2025-03-15,Pendente
262,14778,2024-04-01,Pago
263,4484,2023-12-25,Pago
264,1859,2024-03-25,Pendente
265,18817,2024-04-12,Pago
266,8180,2025-02-19,Pago
267,16217,2024-09-04,Pago
268,18410,2023-11-10,Pago
269,1277,2022-08-28,Pendente
270,21780,2022-10-04,Pago
271,9214,2022-11-17,Cancelado
272,481,2025-03-09,Pendente
273,22184,2024-07-25,Pendente
274,18203,2022-06-17,Pendente
275,4985,2025-03-28,Cancelado
276,15939,2022-12-09,Cancelado
277,3243,2024-10-25,Pago
278,16248,2023-09-12,Pendente
279,16853,2023-07-05,Cancelado
280,24579,2023-06-10,Pendente
281,3836,2024-09-26,Cancelado
282,9691,2023-09-01,Pago
283,3761,2024-06-10,Pago
284,2472,2024-06-05,Pago
285,20533,2023-10-14,Cancelado
286,21296,2024-10-23,Pago
287,10061,2025-02-25,Cancelado
288,13641,2023-03-02,Cancelado
289,17558,2023-08-26,Pendente
290,20633,2023-02-06,Pago
291,20461,2024-10-24,Pago
292,2655,2024-12-13,Pendente
293,17825,2022-11-15,Pago
294,8465,2023-10-11,Pago
295,18388,2023-01-23,Cancelado
296,7867,2023-12-06,Pago
297,15882,2023-02-18,Pago
298,17260,2022-10-28,Pago
299,22675,2025-01-28,Cancelado
300,8206,2024-08-25,Pago
301,13589,2024-02-21,Pago
302,17315,2023-03-19,Cancelado
303,4479,2024-06-04,Pago
304,10436,2024-09-11,Pendente
305,1633,2024-07-05,Pendente
306,11726,2023-03-06,Pago
307,3967,2025-02-19,Cancelado
308,1661,2023-08-09,Cancelado
309,2776,2022-07-14,Cancelado
310,777,2024-08-14,Cancelado
311,4185,2024-06-11,Pendente
312,9669,2022-11-03,Cancelado
313,12443,2025-01-13,Pendente
314,23953,2022-10-04,Pendente
315,21980,2024-10-30,Cancelado
316,17400,2025-01-29,Pendente
317,12239,2023-05-09,Cancelado
318,14538,2024-08-15,Pendente
319,18991,2025-02-22,Pendente
320,18060,2023-12-07,Pendente
321,23429,2025-01-24,Pago
322,17595,2023-10-24,Cancelado
323,10844,2024-05-06,Pendente
324,17435,2024-12-13,Pendente
325,2905,2023-02-14,Pago
326,19685,2022-07-14,Cancelado
327,11776,2024-02-29,Pago
328,6684,2024-04-24,Pendente
329,17338,2024-10-23,Cancelado
330,2672,2023-11-08,Pago
331,22324,2025-05-22,Pago
332,24747,2023-03-11,Cancelado
333,23868,2025-02-18,Pago
334,9354,2024-04-17,Cancelado
335,15747,2024-02-09,Pendente
336,24796,2024-07-16,Pago
337,7812,2024-05-27,Cancelado
338,22926,2023-10-02,Pendente
339,17923,2024-09-02,Pago
340,4645,2023-05-20,Pendente
341,16601,2023-02-28,Pendente
342,18871,2022-11-17,Cancelado
343,14152,2024-03-31,Pendente
344,9866,2024-04-07,Pendente
345,13932,2024-03-06,Pendente
346,3077,2023-06-28,Pago
347,17707,2025-05-19,Cancelado
348,446,2024-08-22,Pago
349,23374,2025-03-09,Cancelado
350,13111,2023-02-06,Cancelado
351,4315,2023-02-23,Cancelado
352,21924,2024-12-27,Cancelado
353,17137,2023-09-23,Pendente
354,19116,2024-05-29,Pendente
355,8215,2022-11-03,Pago
356,13035,2024-06-24,Cancelado
357,17200,2024-02-08,Pago
358,21428,2024-12-09,Pendente
359,20128,2024-02-07,Pago
360,14854,2023-11-14,Pago
361,12202,2024-03-07,Cancelado
362,15689,2024-02-01,Cancelado
363,15401,2024-07-23,Pendente
364,7155,2023-11-17,Pago
365,266,2024-10-10,Pendente
366,3327,2024-02-09,Cancelado
367,2227,2025-04-25,Pendente
368,22713,2024-05-08,Pendente
369,9285,2024-06-04,Pago
370,3768,2022-10-08,Pago
